Runyoro,English
tiny water-worm,Omunyole
tiny water-worms,Abanyole
"cured hide, leather",Omunyuke
"cured hide, leathers",Abanyuke
friend,Omunywani
friends,Abanywani
drinker,Omunywi
drinkers,Abanywi
"hired workman, porter",Omupagasa
"hired workman, porters",Abapagasa
"ball, rubber, rain-coat",Omupiira
"ball, rubber, rain-coats",Abapiira
tall person,Omuraiha
tall persons,Abaraiha
a thief,Ow'omukono mura
lightning,Omurabyo gw'enkuba
lightnings,Abarabyo gw'enkuba
"instructor, commander",Omuragirizi
"instructor, commanders",Abaragirizi
"promise, covenant",Omurago
"promise, covenants",Abarago
inspector,Omurambuzi
inspectors,Abarambuzi
worshipper,Omurami
worshippers,Abarami
brother or sister -in-law,Omuramu
brother or sister -in-laws,Abaramu
an illness like sleepingsickness,Omurandabaro
illness like sleepingsicknesses,Abarandabaro
"announcer, prophet",Omurangi
"announcer, prophets",Abarangi
"a spendthrift, prodigal",Omurarangi
"spendthrift, prodigals",Abararangi
copper,Omurasagaaju
coppers,Abarasagaaju
"archer, rifleman",Omurasi
"archer, riflemans",Abarasi
"slovenly, dirty person",Omurofu
"slovenly, dirty persons",Abarofu
Bishop.COU,Omuroleerezi
Bishop.COUs,Abaroleerezi
"overseer, inspector, guardian",Omurolerezi
"overseer, inspector, guardians",Abarolerezi
"mast, flag-staff",Omurongooti
"mast, flag-staffs",Abarongooti
tracker,Omuronzi
trackers,Abaronzi
loin cloth,Omuroobe
loin cloths,Abaroobe
fire,Omurro
fires,Abarro
shrub which cures cough,Omumbata
shrub which cures coughs,Abambata
stone hammer,Omurubiko
stone hammers,Abarubiko
sub-parish,Omuruka
sub-parishes,Abaruka
"weaver, spinner, knitter",Omuruki
"weaver, spinner, knitters",Abaruki
"heap, mass",Omurundo
"heap, masses",Abarundo
"good, beautiful person",Omurungi
"good, beautiful persons",Abarungi
"pilot, steersman",Omurungiki
"pilot, steersmans",Abarungiki
soldier of king Kabalega,Omurusuura
soldier of king Kabalegas,Abarusuura
"copper, sulphate, bluestone",Omuruturutu
"copper, sulphate, bluestones",Abaruturutu
"patient, a sick person",Omurwaire
"patient, a sick persons",Abarwaire
"fighter, warrior",Omunvani
"fighter, warriors",Abanvani
at night fall,Omurwiririzi
at night falls,Abarwiririzi
"shore, bank",Omusa
"shore, banks",Abasa
"wage, salary",Omusaara
"wage, salaries",Abasaara
beater,Omusagasi
beaters,Abasagasi
supporter,Omusagiki
supporters,Abasagiki
sticks of bedstead,Omusago
sticks of bedsteads,Abasago
"man, husband",Omusaija
"man, husbands",Abasaija
a cross,Omusaraba
crosses,Abasaraba
"crack, cut",Omusale
"crack, cuts",Abasale
"kicker, football player",Omusambi
"kicker, football players",Abasambi
maker of barkcloth mallets,Omusami
maker of barkcloth malletses,Abasami
"day light, sunlight",Omusana
"day light, sunlights",Abasana
wild rubber tree,Omusanda
wild rubber trees,Abasanda
"joker, jester, humorous person",Omusandaazi
"joker, jester, humorous persons",Abasandaazi
ivory,Omusanga
ivories,Abasanga
"tall, hollow-stemmed grass",Omusanja
"tall, hollow-stemmed grasses",Abasanja
seven,Omusanju
sevens,Abasanju
"carver, engraver",Omusaruzi
"carver, engravers",Abasaruzi
one who cuts,Omusazi
one who cutses,Abasazi
poor person,Omuseege
poor persons,Abaseege
one who collects firewood,Omuseenyi
one who collects firewoods,Abaseenyi
bamboo,Omuseke
bamboos,Abaseke
"entertaining, amusing person",Omusekesa
"entertaining, amusing persons",Abasekesa
"stupid, ignorant person, fool",Omusema
"stupid, ignorant person, fools",Abasema
one who serves food,Omusembezi
one who serves foods,Abasembezi
"cleaner, refiner,surgeon",Omusemezi
"cleaner, refiner,surgeons",Abasemezi
"outcast, exile",Omusendwa
"outcast, exiles",Abasendwa
"filter, strainer",Omusengijo
"filter, strainers",Abasengijo
sand,Omusenyi
sands,Abasenyi
"young man, youth",Omusigazi
"young man, youths",Abasigazi
"adulterer, fornicator",Omusiihani
"adulterer, fornicators",Abasiihani
"sinner, transgressor",Omusiisi
"sinner, transgressors",Abasiisi
member of Basiita clan,Omusiita
member of Basiita clans,Abasiita
ruled line,Omusiitale
ruled lines,Abasiitale
"unbaked pot, pig-iron",Omusinga
"unbaked pot, pig-irons",Abasinga
sweeper,Omusingolezi
sweepers,Abasingolezi
"the conquered one, captive",Omusingurwa
"conquered one, captives",Abasingurwa
"the conqueror, victor, winner",Omusinguzi
"conqueror, victor, winners",Abasinguzi
clitoris,Omusino
clitorises,Abasino
earthquake,Omusisa
earthquakes,Abasisa
very large calabash,Omusisi
very large calabashes,Abasisi
incense tree,Omusizi
incense trees,Abasizi
transgressor,Omusobya
transgressors,Abasobya
castor-oil plant,Omusoga
castor-oil plants,Abasoga
a fisherman,Omusohi
fishermans,Abasohi
marrow,Omusoina
marrows,Abasoina
tax collector,Omusorooza
tax collectors,Abasorooza
"edible rat, cane-rat",Omusu
"edible rat, cane-rats",Abasu
candle,Omusubbaaho
candles,Abasubbaaho
young banana tree,Omusugusa
young banana trees,Abasugusa
"thrifty, economical, careful person",Omusulirizi
"thrifty, economical, careful persons",Abasulirizi
"thief, greedy person",Omusuma
"thief, greedy persons",Abasuma
"nail,screw",Omusumaali
"nail,screws",Abasumaali
leech,Omusundo
leeches,Abasundo
inner husk of millet,Omusunga
inner husk of millets,Abasunga
common horn-bill,Omusuraibaaga
common horn-bills,Abasuraibaaga
tail of a bird,Omusuti
tail of a birds,Abasuti
"rader, merchant, business person",Omusuubuzi
"rader, merchant, business persons",Abasuubuzi
"exile, refugee",Omusuuhuuki
"exile, refugees",Abasuuhuuki
mocker,Omuswahirizi
mockers,Abaswahirizi
raffia palm,Omuswale
raffia palms,Abaswale
"fever, malaria",Omuswija
"fever, malarias",Abaswija
"neighbour, fellow, companion",Omutaahi
"neighbour, fellow, companions",Abataahi
mixer,Omutabi
mixers,Abatabi
neighbour,Omutahi
neighbours,Abatahi
drunkard,Omutamizi
drunkards,Abatamizi
"fine, propitiatory gift",Omutango
"fine, propitiatory gifts",Abatango
irreplaceable thing,Omutasumbuuswa
irreplaceable things,Abatasumbuuswa
"preacher, evangelist",Omutebezi
"preacher, evangelists",Abatebezi
"iron bar, crow-bar",Omuteehimbwa
"iron bar, crow-bars",Abateehimbwa
"heap, pile, share, part",Omuteeko
"heap, pile, share, parts",Abateeko
peacemaker,Omuteeranizi
peacemakers,Abateeranizi
mottled pink bean,Omuteesweka
mottled pink beans,Abateesweka
"striker, player",Omuteezi
"striker, players",Abateezi
gambler,Omuteezi w'ejaara
gamblers,Abateezi w'ejaara
"trouble, worry",Omutegaine
"trouble, worries",Abategaine
business,Omutegano
businesses,Abategano
"peddler, merchant",Omutembeeya
"peddler, merchants",Abatembeeya
"climber, rider",Omutembi
"climber, riders",Abatembi
feller of trees,Omutemi w'emiti
feller of treeses,Abatemi w'emiti
"instructor, teacher, initiator",Omutendeki
"instructor, teacher, initiators",Abatendeki
tail of a sheep,Omutere
tail of a sheeps,Abatere
"tree, piece of wood",Omuti
"tree, piece of woods",Abati
"stubborn, obstinate, person",Omutigi
"stubborn, obstinate, persons",Abatigi
coward,Omutiini
cowards,Abatiini
tiny brown bird,Omutiiri
tiny brown birds,Abatiiri
lender,Omutiizi
lenders,Abatiizi
salt water,Omutimba
salt waters,Abatimba
barkcloth tree,Omutoma
barkcloth trees,Abatoma
"advocate, intercessor, pleader",Omutonganirizi
"advocate, intercessor, pleaders",Abatonganirizi
creditor,Omutongi
creditors,Abatongi
debtor,Omutongwa
debtors,Abatongwa
"a mean, stingy person",Omutulika
"mean, stingy persons",Abatulika
"heart, mind",Omutuma
"heart, minds",Abatuma
"corpse, carcass",Omutumbi
"corpse, carcasses",Abatumbi
"messenger, apostle",Omutumwa
"messenger, apostles",Abatumwa
trouble causer,Omutuntuzi
trouble causers,Abatuntuzi
"copper sulphate, bluestone",Omuturuturu
"copper sulphate, bluestones",Abaturuturu
"voracity, greed",Omutuubo
"voracity, greeds",Abatuubo
"heap, pile",Omutuumo
"heap, piles",Abatuumo
"bundle, ten thousand",Omutwaro
"bundle, ten thousands",Abatwaro
"favouritism, partiality",Omutyagiro
"favouritism, partialities",Abatyagiro
salt,Omuunyo
salts,Abaunyo
good white salt,Omuunyu
good white salts,Abaunyu
driver,Omuvugi
drivers,Abavugi
partly dried things,Omuyaajwa
partly dried thingses,Abayaajwa
pleura-pneumonia,Omuyebe
pleura-pneumonias,Abayebe
mango fruit/tree,Omuyembe
mango fruit/trees,Abayembe
a Greek,Omuyonaani
Greeks,Abayonaani
"female slave, servant, maid",Omuzaana
"female slave, servant, maids",Abazaana
"game, amusement, sport, play",Omuzaano
"game, amusement, sport, plays",Abazaano
habit,Omuze
habits,Abaze
olive tree,Omuzeituni/omuzaituuni
olive trees,Abazeituni/omuzaituuni
first born child,Omuzigaijo
first born childs,Abazigaijo
drum stick,Omuzigiso
drum sticks,Abazigiso
swimmer,Omuzihi
swimmers,Abazihi
one who buries another,Omuziiki
one who buries anothers,Abaziiki
"dancer, singer",Omuzini
"dancer, singers",Abazini
collector of market dues,Omuzinisa
collector of market dueses,Abazinisa
"raider, murderer",Omuzinzi
"raider, murderers",Abazinzi
fragile thing,Omuzirakugwa
fragile things,Abazirakugwa
back tendon,Omuzisa
back tendons,Abazisa
large pumpkin,Omuzizima
large pumpkins,Abazizima
at their place,Omwabo
at their places,Ababo
at their place,Omwabyo
at their places,Ababyo
at its place,Omwagwo
at its places,Abagwo
tiny bunch of bananas,Omwahuko
tiny bunch of bananases,Abahuko
"clergyman,'pastor, priest C.O.U",Omwahule
"clergyman,'pastor, priest C.O.Us",Abahule
year,Omwaka
years,Abaka
at its place,Omwako
at its places,Abako
unbaked cooking-pot,Omwali
unbaked cooking-pots,Abali
at its place,Omwaryo
at its places,Abaryo
"arrow, cartridge",Omwambi
"arrow, cartridges",Abambi
ferryman,Omwambuzi
ferrymans,Abambuzi
the king's laundry-man,Omwamura
king's laundry-mans,Abamura
"idler, loiterer",Omwandaazi
"idler, loiterers",Abandaazi
flat stone or rock,Omwandara
flat stone or rocks,Abandara
"ravine, deep valley",Omwanga
"ravine, deep valleys",Abanga
house without partitions,Omwangaara
house without partitionses,Abangaara
at my place,Omwange
at my places,Abange
"quick, rash person",Omwanguhi
"quick, rash persons",Abanguhi
coffee shrub or berry,Omwani
coffee shrub or berries,Abani
"space, room, opportunity, leisure",Omwanya
"space, room, opportunity, leisures",Abanya
at your place,Omwanyu
at your places,Abanyu
at their place,Omwatwo
at their places,Abatwo
at your place,Omwawe
at your places,Abawe
"marauder, raider, petty thief",Omwayi
"marauder, raider, petty thiefs",Abayi
at its place,Omwayo
at its places,Abayo
at their place,Omwazo
at their places,Abazo
at his place,Omwe
at his places,Abe
"guide, leader",Omwebembezi
"guide, leaders",Abebembezi
"learner, beginner",Omwega
"learner, beginners",Abega
careful person,Omwegendereza
careful persons,Abegendereza
"cloak, robe",Omwegereko
"cloak, robes",Abegereko
teacher,Omwegesa
teachers,Abegesa
"learner, pupil, disciple, scholar",Omwegesibwa
"learner, pupil, disciple, scholars",Abegesibwa
clown,Omwegingi
clowns,Abegingi
"boaster, braggart, selfish",Omwehaahizi/ omwepanki
"boaster, braggart, selfishes",Abehaahizi/ omwepanki
"proud person, conceited person",Omwehulizi
"proud person, conceited persons",Abehulizi
"diligent person, hard working",Omwekambi
"diligent person, hard workings",Abekambi
"girdle, belt",Omweko
"girdle, belts",Abeko
"pilferer, thief",Omwekomakomi
"pilferer, thiefs",Abekomakomi
"proud, scornful person",Omwekuniki
"proud, scornful persons",Abekuniki
"rebel, traitor",Omwemi
"rebel, traitors",Abemi
"oppressor, bully",Omwendereza
"oppressor, bullies",Abendereza
"boaster, one who appreciates",Omwenyumirizi
"boaster, one who appreciateses",Abenyumirizi
sex minded person; lustful,Omwenzi
sex minded person; lustfuls,Abenzi
bishop,Omwepiskopi
bishops,Abepiskopi
"rebel, disobedient person",Omwereme
"rebel, disobedient persons",Abereme
"bullying, scornful person",Omwerengerezi
"bullying, scornful persons",Aberengerezi
"bullying, ill treatment",Omwerengerro
"bullying, ill treatments",Aberengerro
"modest, careful, sober-minded person",Omwerinzi
"modest, careful, sober-minded persons",Aberinzi
"plenty, abundance, cheapness",Omweru/omwero
"plenty, abundance, cheapnesses",Aberu/omwero
suppliant,Omwesengerezi
suppliants,Abesengerezi
self styled tenant,Omwesengeze
self styled tenants,Abesengeze
"faithful, trustworthy person",Omwesigwa
"faithful, trustworthy persons",Abesigwa
boardgame with beads,Omweso
boardgame with beadses,Abeso
"intruder, interloper",Omwetaahirizi
"intruder, interlopers",Abetaahirizi
"busy body, interfering person",Omwetabi
"busy body, interfering persons",Abetabi
"good-natured, easy-going person",Omwetebeekezi
"good-natured, easy-going persons",Abetebeekezi
sash or belt,Omweteegero
sash or belts,Abeteegero
sensible person,Omwetegereza
sensible persons,Abetegereza
a handy person,Omwetoozitoozi
handy persons,Abetoozitoozi
"carrier, porter",Omwetweki
"carrier, porters",Abetweki
one who shows off,Omweyoleki
one who shows offs,Abeyoleki
round about,Omwezigorro
round abouts,Abezigorro
harvest big harvest,Omwezo
harvest big harvests,Abezo
"thief, robber",Omwibi
"thief, robbers",Abibi
salt water,Omwifooro
salt waters,Abifooro
deaf person,Omwigazi w'amatu
deaf persons,Abigazi w'amatu
rain-maker,Omwigi w'enjura
rain-makers,Abigi w'enjura
"stick, walking-stick, rod",Omwigo
"stick, walking-stick, rods",Abigo
first born,Omwiguranda
first borns,Abiguranda
"satisfaction, repletion",Omwiguto
"satisfaction, repletions",Abiguto
toothless person,Omwihuki w'amaino
toothless persons,Abihuki w'amaino
"descendant, grandchild",Omwijukuru
"descendant, grandchilds",Abijukuru
the one who reminds,Omwijukya
one who remindses,Abijukya
"deluge, flood",Omwijuzo
"deluge, floods",Abijuzo
"smoke, air, gas, breath",Omwika
"smoke, air, gas, breaths",Abika
the one who outstays,Omwikalirizi
one who outstayses,Abikalirizi
"miserly, selfish, grudging person",Omwimi
"miserly, selfish, grudging persons",Abimi
agitator,Omwimukirizi
agitators,Abimukirizi
"darkness, problems",Omwirima
"darkness, problemses",Abirima
"servant, peasant",Omwiru
"servant, peasants",Abiru
"bondservant, slave",Omwirurubaale
"bondservant, slaves",Abirurubaale
"runner, fugitive",Omwiruki
"runner, fugitives",Abiruki
"a killer, a murderer",Omwisi
"killer, a murderers",Abisi
"fordable river, landing-place, harbour",Omwogo
"fordable river, landing-place, harbours",Abogo
one who roasts; incendiary,Omwoki
one who roasts; incendiaries,Aboki
"show, exhibition",Omwoleko
"show, exhibitions",Aboleko
metal bar,Omwoma
metal bars,Aboma
"disobliging, disagreeable person",Omwomi
"disobliging, disagreeable persons",Abomi
"spirit, soul",Omwoyo
"spirit, souls",Aboyo
hailstone,Orubaale
hailstones,Embaale
banana leaf,Orubabi
banana leafs,Embabi
hot thing,Orubabu
hot things,Embabu
side,Orubaju
sides,Embaju
"elephant grass, Pennisetum-Purpureum",Orubingo
"elephant grass, Pennisetum-Purpureums",Embingo
hot spring,Orubiga
hot springs,Embiga
German language,Orudaaki
German languages,Endaaki
French language,Orufaransa
French languages,Enfaransa
proverb,Orufumo
proverbs,Enfumo
spiral wire bracelet,Orugagara
spiral wire bracelets,Engagara
"rumours, baseless talk",Orugambo
"rumours, baseless talks",Engambo
"a story, a tale",Oruganikyo
"story, a tales",Enganikyo
umbilical,Orulera
umbilicals,Endera
"couch grass, guinea grass",Orumbugu
"couch grass, guinea grasses",Enmbugu
English language,Orungereza
English languages,Enngereza
tomato,Orunyaanya
tomatos,Ennyaanya
language of the Banyankore,Orunyankore
language of the Banyankores,Ennyankore
language of the Banyoro,Orunyoro
language of the Banyoros,Ennyoro
paper,Orupapura
papers,Empapura
"journey, trip",Orugendo
"journey, trips",Engendo
joint,Orugingo
joints,Engingo
ankle bell,Orujogera
ankle bells,Enjogera
a banana plantation,Orugonjo
banana plantations,Engonjo
water reed,Orugoro
water reeds,Engoro
cloth,Orugoye
cloths,Engoye
piece of broken pot,Oruguhyo
piece of broken pots,Enguhyo
bladder,Oruhago
bladders,Enhago
journey,Oruhanda
journeys,Enhanda
skull,Oruhanga
skulls,Enhanga
bald head,Oruhara
bald heads,Enhara
public labour in shifts,Oruharo
public labour in shiftses,Enharo
red ant,Oruhazi
red ants,Enhazi
Hebrew,Oruheeburaniya
Hebrews,Enheeburaniya
"grain,bead for rosary",Oruheke
"grain,bead for rosaries",Enheke
language of the Bahima,Oruhitna
language of the Bahimas,Enhitna
mist,Oruho
mists,Enho
language of the Bahororoai,Oruhororo
language of the Bahororoais,Enhororo
"skin, hide leather",Oruhu
"skin, hide leathers",Enhu
mould,Oruhumbo
moulds,Enhumbo
swamp grass,Oruhunda
swamp grasses,Enhunda
German language,Orujamani
German languages,Enjamani
Japanese language,Orujapaani
Japanese languages,Enjapaani
grey hair,Oruju
grey hairs,Enju
thicket with thorns,Orukaiga
thicket with thornses,Enkaiga
line,Orukarra
lines,Enkarra
language of the Bakiga,Orukiga
language of the Bakigas,Enkiga
curtain,Orukingi
curtains,Enkingi
"belt, rubber straps",Orukoba
"belt, rubber strapses",Enkoba
eye-lash,Orukohe
eye-lashes,Enkohe
eye-lash,Orukohi
eye-lashes,Enkohi
fence,Orukomera
fences,Enkomera
type of pea,Orukoole
type of peas,Enkoole
big black ant,Orukorooto
big black ants,Enkorooto
stick of firewood,Oruku
stick of firewoods,Enku
finger,Orukumu
fingers,Enkumu
"meeting, council",Orukurato
"meeting, councils",Enkurato
permission,Orukusa
permissions,Enkusa
pigeon pea,Orukuuku
pigeon peas,Enkuuku
millet grain,Oruro
millet grains,Endo
permission,Orusa
permissions,Ensa
backyard of the house,Orusansabagi
backyard of the houses,Ensansabagi
"sucking vessel, straw",Oruseke
"sucking vessel, straws",Enseke
measles,Oruseru
measleses,Enseru
inner room,Orusiika
inner rooms,Ensiika
castor oil tree,Orusoga
castor oil trees,Ensoga
school term,Orusoma
school terms,Ensoma
"hill, mountain",Orusozi
"hill, mountains",Ensozi
roof,Orusu
roofs,Ensu
altar,Orutaali
altars,Entaali
stride. step,Orutambo
stride. steps,Entambo
curtain,Orutimbe
curtains,Entimbe
language of the Batooro,Orutooro
language of the Batooros,Entooro
Greek,Oruyonaani
Greeks,Enyonaani
Hebrew,Oruyudaaya
Hebrews,Enyudaaya
"birth, getting children, production",Oruzaaro
"birth, getting children, productions",Enzaaro
locust,Oruzige
locusts,Enzige
a maggot,Oruzito
maggots,Enzito
"lowers, flowering stage",Orwakyo
"lowers, flowering stages",Enakyo
mine,Orwange
mines,Enange
presence of many people,Orwato/orwatu
presence of many peoples,Enato/orwatu
familiarity,Orwemanyiisirize
familiarities,Enemanyiisirize
living room,Orwemo
living rooms,Enemo
"plain place, clear ground",Orwerere
"plain place, clear grounds",Enerere
vocation,Orweto
vocations,Eneto
"bountiful harvest, fertility",Orwezo
"bountiful harvest, fertilities",Enezo
door,Orwigi
doors,Enigi
Italian language,Orwitale
Italian languages,Enitale
burning embers,Orwogootooto
burning emberses,Enogootooto
goodbye,Otaasane
thank yuo very much,Otyo muno!
tell me,Otyo!
"wise, cleverperson",Owaamagezi
"wonder-worker, conjurer, magician",Owaamasano
poor person,Owaamaseege
deep down,Owalegalege
brother or sister,Owanyina
placenta after birth,Owaanyuma
"cattle keeper, herdsman",Owente
jelous/bad hearted,Owihali
debtor,Owibanja
county chief,Owiisaza
"marksman, goodshot",Owiltomo
city dweller,Owoomurubuga
"relation, kinsman",Owoomuruganda
parish chief,Owoomuruka
citizen,Owoomwihanga
walking hurriedly and excitedly,Otakincwa
prime minister,Owekitinisa
sub-county chief,Ow'igomborra
county chief,Ow'isaza
parish chief,Ow'omuruka
a clans person,Ow'oruganda
pope,Paap
intensive with,Paapai
"to chatter, speak carelessly",Paipya
to work for wages,Pakasa
See: MAISHO-ANA,Pukonyo
a sip of something,Poosi
hinge,Pata
cotton,Pamba
"to deny, refuse",Pampa
to meet unexpectedly,Pamparana
"to rent, hire",Pangisa
quickly and roughly,Paku
quickly roughly,Pakupaku
"to flap wings, flutter",Papamuka
chisel,Pataasi
to be very bitter,Peepeepe
"to gnaw, crunch",Pekenya
to fan,Piipiza
"to measure, weigh",Pima
"to shake, shiver, tremble",Pipira
pepper,Piripiri
police,Poliisi
post office,Poositoofiisi
food/ maize flour,Poso
"unaware, suddenly unexpectedly",Puku
unexpected visitor,Pukunapuku
intensive with,Pukupuku
"fright, terror, panic",Pumpu
to pluck,Puucura
petrol,Peterooli
motorcycle,Piki-piki
barrel,Pipa
enchery dark,Poopoopo
plan,Puraani
at once and unexpected,Puku na puku
see.omubara,Ibura
elephant grass. Pennies-Wm purpureum,Kibiogo
"-, papyrus. Cyp erusÂ·papyn",Kifunj
otnugeye,Mucence
Acacia stenoca1pa. See orugaodo,Mugando
large thorny tree,Mugarama
Fagara spp. See omutatembwa,Mugwamabere
omunywamaizi,Mubangabagenzi
cassava,Muhogo
", a forest tree",Muhorro
teganotaenia ara!Tacea. See omultamagwenjojo,Mubotora
Chrysosphyllum albidum. See onmruuru,Muhumburya
a tree resembling omubimba,Mujana
Hymenocardia acida. See omutabwankubebe,Mukanaga
Borassus tlabellifer,Mukooga
Pterygota.sp. See omukoko,Mukogoto
Desplatzia sp.(undescribed). Glyphana lateriflora,Mukoma
", =fo reg",Mukomakahanga
Balanites Wilsoniana. See orukoyo,Mukunga
Mahogany. Entandrophragma angolense,Mukusu
tree fem. Cyathea dregei,Mulere
Mimusops sp,Muma
Symphonia gabonensis.See cnkwasi,Munyankwasi
bamboo. Arudianaria alpina,Museke
raffia palm,Muswale
wild coffee. Coffea eugniodes.C.Rubusta,Mwani
any long straigbt-spined acacia,Mweramaino
Mahogany.Enrandraphragma cylindrium,Mwikalirwangeye
to live on,Raagira
leave a curse,Raaka
"to sit on(eggs), brood",Raara
come to an end,Raaruka
pound (pound),Raatiri
"track to lair, reconnoitre",Raaza
"to be sharp, smart",Rabukya
"to covenant together, agree",Ragaana
"to promise, covenant with",Raganiza
"to drop, fall",Ragara
to sound,Raha
"to swear, vow",Rahira
to do very quickly,Rahukiriza
to provoke,Rabura
"to be high, tall",Raiba
long,Raira
lick,Ramba
to attack,Rambaara
to lie down,Rambiira
stretch out,Rambuura
"to salute, greet",Ramukya
to spin out,Randagataniza
"to be torn, broken",Randuka
to knock over,Rangaalika
spread,Rangaana
"colour, dye, paint",Rangi
to announce to,Rangira
to tear,Ranjura
to look up,Rarama
to scatter.waste,Rarangya
; to be independent,Raruka
"to draw bow,shoot at",Rasa
to see far off,Leeba
"to unstring, get loose",Leeguka
to shine,Leenya
"so, now, well",Hati
to accuse secretly,Lega
"fix, ready for grinding",Legeka
to compensate,Lehera
to fine,Lehesa
"to be equal, draw",Lemagana
"to comfort, soothe",Lembeerra
to make heavy burden,Lemeeza
to compare with,Lengasiniza
"to be suspended, hang",Lengiija
dangle,Lengiiza
pass. of lenga,Lengwa
to be turned up,Lerembuka
to turn up,Lerembura
to be satsified,Lerembya
"to trample, tread",Libatiira
to lick,Ligasa
"to play, frolic, spar",Liikana
"to share, be partners",Liraine
silk,Liri
"to feed, herd",Liisa
creator,Liiso likooto
"to dig, to cultivate",Lima
"to cover up, protect",Liroba
"to find out, discover",Limbuura
to wait for,Lindiirra
"to keep waiting, wait",Lindiriza
"to peep, peer",Linguza
weep over,Liriira
to make weep,Liza
scared royal spear,Rihango
"dove, pigeon",Riiba
"den, hole",Riina
tooth,Riino
iziga,Riizi
"dirty, filthy",Rofu
"to gossip, chatter",Rogoisibwa
to be quenched,Rohooka
to quench (thirst),Roboora
to choke,Rokana
"gaze, stare",Roleereza
to be visible,Roleka
to be transparent,Rolekana
grow,Romba
"to blame unceasingly, quarrelsome",Ronda
to walk wanderingly,Rondogora
to gossip,Rondogorwa
to follow a trail,Ronza
to pulsate,Rooka
lorry,Roole
"to be clear, transparent",Roorraana
to dream,Roota
"to see, behold, find",Rora
to be left alone,Roronga
to tatse,Roza
"to weep, cry",Rra
ramrod,Rubaasi
plantain leaf,Rubab
side rib,Rubaju
the mucwezi oftwins,Rubanga
"conversation, speech",Rubazo
"board, plank,desk",Rubbaaho
"lower milestone, grand stoe",Rubengo
water of bot spring,Rubiga
new house,Rubiika
"reed, elephant grass",Rubingo
black he-goat,Rubogo
small packet (of salt.),Ruboho
a tum,Rubu
"stubble, straw of oburo",Rububa
cream on scalded milk,Rububi
barkcloth,Rubugo
requent and unauthorized vists,Rubungo
light- grey bull,Rubuubi
"multitude, abundance, great quantity",Rucaca
rheeumatism,Ruceenyo
"young locust, hopper",Rucencede
a skin disease,Rucooli
handful,Rucumite
a couch creeping grass,Rucwamba
salivation,Rucwanta
long legged lanky person,Rudengadenga
death,Rufu
"wise saying, parable, proverb",Rufumo
papyrus,Rufunjo
thick wire bracelet,Rufuruuto
See: GAAJU,Rugaaju
cathedral,Rugaatwa
"weaker, tray for winnowing",Rugali
"rumour, chatter, empty talk",Rugambo
"tribe, clan, family",Ruganda
razor,Rugembo
rat track,Rugendero
"juorney, voyage, march",Rugendo
reaping-knife,Rugeso
joint,Rugiga
wooden charm,Rugisa
lesser bustard,Rugobante
packet containing medicine,Rugogo
something very big,Rugogoma
garden of plantains,Rogonjo
"potsherd, crock",Rugubyo
clocynth,Rugusuuru
"main road, street",Ruguudo
"to become exhausted, faint",Ruha
species of edible termite,Ruhaho
seed of gourd(pumpkin),Ruhambo
"advise, counsel, conference",Ruhanuura
baldness,Ruhara
forked iron stick,Ruhaso
see kihiihi,Ruhiihi
grass fire,Ruhiira
divining rod,Ruhimbo
"needle, bodkin, pipe cleaner",Rubindo
"mottled, goal",Rubinduki
change,Ruhindura
"stretcher, litter, bier",Ruhinyo
haze,Ruho
reddish brown bull,Ruhogo
"talk rapidly, successively; chatter",Ruhonderaniize
but for goats,Ruhongole
"skin, hide",Ruhu
very small white worm,Rubuka
"shamelessness, carelessness, rudeness",Ruhule
"mould, mouldness",Ruhumbo
black bull or ram,Rukara
to hand on traditon,Rukaruka
pinkish-coloured bull,Rukerenge
"curtain, diaphragm",Rukingyo
spinal cord,Rukizi
cluster of plantains,Ruko
eyelash,Rukohi
"fence, barricade",Rukomera
species of euphorbia,Rukoni
"slope of hill, descend",Rukonkomoko
very strong tobacco,Rukoroza
a tall flowering grass,Rukozi
"stick of firewood, logs",Ruku
packet (tired round.),Rukube
"fold, pleat",Rukubo
very stout person,Rukujajara
"roughness, erecthair or bristles",Rukujuju
grain of millet,Rubuule
mottled grey bull,Rubuura
light of patch skin,Ruhyora
egg plant,Rujai
very hairy ram,Rujagaate
continous ram,Rujegeju
"chain, fetter",Rujegere
white ram,Rujeru
name given to chatterbox,Rujogeza
grey hair,Ruju
european language,Rujungu
"to weave, plait, knit",Ruka
six hundred,Rukaaga
species of reed,Rukaaka
"line, row, verse",Rukaarra
"scabies, dry skin rush",Rukaca
nearly ripe pod,Rukaiga
dewlap,Rukanaakana
"camp, booth",Rukande
rake,Rukanduzo
work of the house,Rukanga
mange (of dogs),Rukuuku
euphorbia,Rukukuuru
"finger, small potatoes",Rukumu
bull with no horns,Rukungu
"coucil, assembly, committee, conference",Rukurato
potters polisher,Rukuubiso
passage,Rukuubo
sorrel,Rukuunya munzigu
road,Rukuute
very severe scabies,Rukwakwa
early morning,Rukyakya
potter's polisher,Rulebuzo
"measurement, size",Rulengo
umbilical cord,Rulera
"tongue, language, accent",Rulimi
"wire, bracelet",Rulinga
meal,Rurya
"tribe, lineage",Ruryo
bite,Ruma
dragon fly,Rumaga
"to be overgrown, attack",Rumba
nightjar,Rumboto
couch grass,Rumbugu
bleed by cupping,Rumika
to be gritty (food),Rumira
giagantic,Rumooma
reed torch,Rumuli
to give antidote,Rumura
eight hundred,Runaana
; stinging centipede,Runaku
