enkura	Rhinoceros
obu anywa amaanva; kira ebiro bisalu	Mukazi we araara amuta/ikire,, when he takes alcohol he scolds his wife till morning; For meat to be quHe dry, it is grilled for three days
cukumura	To discard
empale	Knickers, trousers, shorts
bbaamuura	To straighten, unbend
ebigaali/enegere	Wheel barrows
funguka	To be djluted.
amaombera	Season of weeding millets
empeese/enfuka empyaka	A new hoe
bukoonyezi	Help,assistance
abakazi ba/ima bari; zijuga ziti; ngambire nti; embuzi ekatigira ha kwambuka ekisam·u; amaizi g'ekisaaru nugo gaagitigize	Women dig like this (show action); Cows mow like this (make the sound), ndo/10 mi, Iam like this; Ihave thus said (quote what you have said) agamb1re ati, he has said thus (quote his words). Ti- negative prefix at the beginning of a verb stem beginning with a consonant and the vowel i. Tibaijuka, they do not remember; The goat became stubborn when it came to crossing the river; It was of fear the river waters that made it stubborn
jenjeka	To tie loosely.
abuuka	To rise quick ly
furafura	To disparage, run down
mwije muntenekere omusiri gwange gunu; enfuka ya kidim11 niyo ebo mmgi kutenekesa omusiri	Come and dig my garden by turning over clods; It is a bladed hoe broad that is suitable for turning over clods in digging
1110/oka zikira kuteerateeranira omubyezigooro; ekiteerateeraniza motoka nukwo kwirokira hanziriga enyingi muno omubyezigooro	Motor cars often collid in comers; It is overdriving while in comers that causes motor cars to collide
fukumuka	To come out in amounts large as water from ground (content of gourd)
enumi	Bull: a male cow
ebirale	Trail of mens
omuntu mukuru obu agenda haiziba, asemeriire kumutahira amiazi,	When an old person goes with a child to the well he/she must draw water for the young one
enyama y 'omwihuki w 'amaino baakugitiimirege; haroho obwoma abantu obu batiimisa enyama	The meat for thetoothless person would be minced; There are machines which are. Used to mince meat
okusiga	Sowing
ebikere	Frog, toads
ekisaniko	Cover, used banana leaf
taaha	To arrive, enter, go home
torukwikirizibwa kuturuukiriza omutwe gwawe omwidirisa /ya motoka erukwiruka	You are not allowed to stick out your bead through the window of a moving car
tegeijuka	To grow luxuriantly
bisi	Raw, uncooked, unripe, fresh
akaanya kataito obu orukukatalikirizaamu abantu abandi nibaburwa h 'okwikaarra	If you sit with legs apart in a small space, other people will not have where to sit.
bwekambi	Deligeocc, zeal, earnestness, zest
Eoka	Self, selves
enturabusa	Swollen gland
ekisambizo ekisanuruzo	Spur of cock comb
okulinda empunu kirimu amagoba	Pig farming is profitable
ebinyonyi	Birds
ebihohe	Soft calabashes immature
abantu baingi nibeekaguza kiki ekimujujumukize bwangu kili	Many people are asking themselves what has made him/her grow so fast
ebisizi	Plant diseases
ekisire	Obstinate person
ekiramukyo	Small present, remembrance
ezange	Mine
bumomi	Rust
amagufa gakamutunamira enaku	His/her bones protruded due to poverty. C. Form, tunamya, ku-, oku-
bwisiki	Girlhood
ekisaniko	used Cover, banana leaf
ebiituuru	Shade, shadows
fufuza	To go alone through dense forest,etc
ebikindo	Palm trees
junjuruma	To roar, hum
orusu; 1. obusegu; t. akeeta abanyaruganda kwija kumutondera	Prepare the roof when beginning to build a round native hut; Of snake, poison ready so that it can have it discharged; Of a child, grow up and reason a grown up person; He invited to come and identify the child for him
ekyesingiso	Loofah, sponge
juruguuta	To thrust, prod repeatedly when (as killing an animal).
bambataza	To squash
akatomera ekisiika omumwirima naagya kubyama; akavuga motoka ye atamiire ekisa yagitomeza ky 'oruguudo	He/she knocked against a wall in the dark when he/she was going to bed; He drove his car while he was drunk and he made it against knock a road bank
ebihwazi	Impaired vision
emilyoni	One billion
obuhumuza	Commas
eraoga	To oneself announce
cumanga	To push repeatedly, neglect
eminya	Small lizard-like
tigika	To support (a thing) falling with poles
abasibensi kukora n 'amaani nikyo kitumbuza ekyaro /.y. abo	Hard working of the inhabitants brings progress in their village
esokondwa	Caterpillar
Ecunda	To drag oneself along
ekikoobe	A herdsman's whistle
tebeekaniza	To steer, keep straight
jogolekwa	To be talkative, be a chatterbox
abakazi ba/ima bari; ente zijuga ziti; ngambire nti; embuzi ekatigira ha kwambuka ekisam·u; amaizi g'ekisaaru nugo gaagitigize	Women dig like this (show action); Cows mow like this (make the sound), ndo/10 mi, Iam like this; Ihave said thus (quote what you have said) agamb1re ati, he has said thus (quote his words). Ti- negative prefix at the beginning of a verb stem beginning with a consonant and the vowel i. Tibaijuka, they do not remember; The goat became stubborn when it came to crossing the river; It was fear of the river waters that made it stubborn
teteerwa	To be undecided, waver, hesitate
bintu bibiri abakazi ebi bakira kufubikisa abaana baabo	There are two things which parents commonly use io wrapping their children
ebinyamunsungusungu	Crested eagles
ebyakwahwa	Armpit hair
akajagarro	Commotion
twara	take, To carry, conduct
enkoko empangi ejanjagaraza amapapa gaayo eboine enkazi	A cock will spread its wings before a hen. To fasten or cover Loosely
empeta	A ring
obumogo	Mark,a scars
ekikangi	Thorn of palm tree
tematemura	To tear to pieces
amaterekero	Shelves
tilhiika	To cram, stuff, over load
kwamira	To shout at
ebyomuziro	Forbidden things
Ekulingilrra	To be round, spherical
ekiramukyo	Small remembrance present,
empamo	Mourning, lamentation
enkoko kutaakuurra obwana bwayo obuhuka etaakuza enono zaayo	A hen uses its claws in order to for scratch insects from the ground its for chicks
Eceeba	To wear many clothes(woman)
twarraaniza	Root up together, give out two kinds of things
esirimbi	Whistle
kwanga	To refuse
obumanyiso/oburorwaho	Signs
ebingoleka	Idiot, an
ensinika	Grin showing teeth
ekyenda	The stomach,intestine
ebifufu	Bruises
esaara	Prayer
bunda arra	Tolie in wait, for
ekitumbwe	**unripe fruit.**
etundubaale	Tarpauline
bukiiouuki	Rudeness
taahisa	To generate income to the owner of an activity
ebicu	Clouds
enteeraniza	A way of joining
abantu bakatangaarra ebyamahano yabakoorraaga	People maf\>eled at the miracles he performed before them
boigora	To bark; roughly speak
Endeberwamu	Looking-glass, mirror
jonjooza	To abuse, treat with contempt, harass;
evanjiri	The gospel
ebisense	Ragged edge, rags
ebbaibbuli	The Bible
tuukuurra	To undo untie. (beadwork), Tuum a, oku-, v.i ku-,
bugazi	Facing up
ekihyo	Large knife, machete, sword
ebireego	Taut strings
e zijwabiriire ebisajwa; nfwahire kubahaga ebiragiro bya11ge nimubicwa; bajwal11ra muno hakutemba ensozi; abaana bato bajwahibwa kumara obusumi bwingi	His/her fingers are smeared with fat all over. Jwa ha, ku-, oku -, v.i; I am of giving you my rules of which you always Travellers get tired climbing hills; Young children get tired when they sit for a long time
tyongoza	To point finger at (in defiance, scorn)
footookeerra	To be vacillating, unsteady
ebibero	Thigh, laps
tiima	Chop small, mince
enganyi	Sorrow, sadness
ebisumuruzo	Key, an openers
bwijukuru	Ancestry,generations
amahembe	Horns
obunyamwenyi	Squirrels
amazima	Truth
ebisaatu	Skin, hides
damura/genda	To move
amaarwa	Give or offer
oburondo	:lineages
juba	Adv., lately. J uba, ku-, oku-, v.i.•
footora	To squash
kusereka	To hide
kwana	To make, to
Ekubakuba	To become tangled
akamttjunaana habw 'okumutambukira	He/she blamed her/him for having strode across his/her food
ensoro	Spring of water
omuntu atogo/ekwa obu aba naabaza hamu ebitarula11eerana	A person is incoherent if he/she speaks and illogically inconsistently
kwija	To come
bunda arra	in Tolie wait, for
enjatu	Destructive gale
obubaire nibusisa nk 'oburaasiriira hati butumburukire	The crop that appeared stunted is now flourishing
ebitengo	Very cloths old
ekisutama-hamwe	A stool traditional
entyabiri	A species of mushrooms
funyika	To crumple up, gather (in sewing)
akakorwa	Weasel
ob11 ebyokulya baba nibabicumba bikatandika kutogota buli biri haihi kuhya	When that food is being cooked begins to bubble it that means it is nearly getting ready
tuurruuma	To be grumpy, grumble, growl
ebijaburiro	Fomentations
ekisige	Eye blows
obusoono	Enticement, persuasions
ekirimi	Flames of fire
ebinyaanyindo	Nasalised manner of speech
ekijoojo	Fresh banana tree sheath
ekyata-muzinga	Honey-eating animal
Omukama obu atuuza omuguta gwe gwnara ebiro mwenda gutakatabaaziibwe; Omukama Kaabaleega akatuuliza Jinja naan1ga omukuzaahisibwa	When a King dies, his corpse lies in state for nine days before it is buried; King Kaabaleega died while at Jinja on his way back from twa tyaza exile. Twa, o-, genitive particle for nouns in cl. 13. It is written separately before the noun butjoined with a possessive root and self standing pronoun
Sabbunni y'ensaano y 'okwogiisa ebintu	Soap in form for cleaning powder utensils
omuntu amanyire ebyenseke nuwe atebera abanyubenyzmgu enseke	It's one who knows all about pipes who molds for pipes pipe smokers and them fits into their bowls
tanuka	To grow worse, spread
esaati	Shirt
amakuru	News
obwirukairukaine	Chaoses
bweewiso	Expiation
binkuti	Force a laugh
abateezi b'entomihobo 'omumu w 'olmbataisukaniza omukuteerangana	Boxers in the game of fighting are separated by a referee
diira	Compass
egyambiya	Machette
bugumya	Fixed, firmly
ebijubwa	Type of horizontal grasses
enjura sizoni enu ebaire mbi	The rainfall this season was poor
amakuru	News, meaning, sense, interpretation
obu yasangireamazire irakutobeza enyungu yamuleka yahotoorra kimu	When she· found that she had already put millet in the boiling water, she let her continue with the cooking
entumbwe	Calf
obusumi	Time, seasons
binkwabwa	Hair in the armpits
obu akaba naamara obuheereza bwe mb '0mukama akataahya enyana; t. omukazi	When he ended his service at the palace he received a heifer from the King; To marry
jumbira	To finish paying dowry, be engaged to (a man), court
akigarukwamu	To answer, reply
teerra	To be slippery, be smooth, slide, glide
ebisoma	Fresh leaveses
ekikeke	Pumpkin
omutongi atugika omunyaibanja ou arukwerengeerra	A creditor forcibly demands payment from a debtor lie/she looks down upon
fuba	To away (esp. milk), amata agafiire bagafubire, that has gone bad has been thrown away
tandaaza	To spread (e.g. Cement)
buoyakantu	Hasty,temper
bukuku	Stinginess,rancidity
tutumbuka	be To bruised, have lumps on thebody,havescabies
taisa	To drop, miss, fail to hit catch or
ebibwana	Puppy: a young dogs
leka kungambisa nikantentebukya akasozi	Stop making me speak as the slope of a hill is forcing me to fall forward. Teoteerra, ku-, oku, v.i
buhangami	Scarcity
ekipiira	Jerrycan
amahano	Wonders
busuubuzi	Trade
ekidongodongo	A heron
akagwe	Calamity: unexpected bad situation
omwani kirimwa kya sente ekyomugaso muno mu uganda	Coffee is an important cash crop in Uganda
ekireego	Taut string
engobya	Cunning deceitful person, cheat
engundizi	Weakling; long-lived person
tyoka	To slip, slide, give way (as soil)
entwe	Ears of millet
orufu orw'omusaija ebiro bbina kandi orw 'omukazibisatu; anywire omubazi ogurukutun1kya; mulllrukye omulumbi; omutamiizi natalibaniza abanlu; orufu rwe n1latun1kwe habwabandi abarwaire abakaba bali omuka	Go out of mourning, (the bereaved now be free) akasaba mukama we amwikirize kugaruka hamulimo amazire kuturuka orufu rwa ise, he/she requested his/her master to allow him/her resume duty after he/she had come out of mourning his/her father'sdeath; It takes four days to come out of mourning for a deceased man and three for a woman; He/she taken a laxative which has made him/her purge; Take the corpse out of the house (for speeches and burial); Take the drunkard out he/she is disturbing the people's peace; The deceased's funeral ceremony was not held because of the sick one at home
juubya	To cook and then roast (unripe millet), j. Amatama, pout, look cross. Ju ujura, ku-, oku-, v.tr
amaazi	Faeces, excrement
bubambaazi	Mad behavior
bwiko	Mutual hatred,enmity
ensibyemu	Type of potato
kujarra	To spread for
omusaiJa amutaagisize; akakira kutaagisibwa kumuteeza eldJumbura	The man has made him/ her cry for out mercy; What caused him/her to cry out for help most was being with struck stinging leaves
enjunza	Jigger
oburo obwasigaire omumusiri butagesirwe babllf ondogoroiremu bwona bwalrwamu; akanga kutondogoorra byona ebyarugiriif weho okunobangana kwabo; akaragira abaana be kugenda k11tondogoroorra nyinenkunt bo oburo abagesi obu baasigire omumusiri	They have picked all the millet that was left unreaped in the garden; He/she refused to explain fully the cause of their estrangement; He/she ordered his/her children to go and reap the remaining millet that the reapers left in the garden for their grandmother
ekiituuru	A shade, shadow
omuntu mukuru obu agenda haiziba, kumutahira amiazi,	When an person goes with a child to the he/she must water for the young one
toorana	To be well mixed
ebijubwe	Type of grasses
bunyu unyuguru,	Tickling sensation
ebitentere	Young grasshoppers
ekiteete	Lemon grass
bukwataoe	Relationship
turiisa habye'nyama empunu	We keep pigs for meat
tecraniza	To bring into agreement, unite, make peace
aguurra	To thin out seedlings
tyaza	To sahrpen
ekiniga kikamutemuza ebbaruha ezi akaba amuhandiikiire; emiti y'ebijuma abaana bagitembera tembeeka temeerra kugicwaho ebijuma byayo; embogo =ikabatembesa omuti	Indignation made him/her to tear the letters which he he/she had written to him/her; Children climb fruit trees so that they may pick fruit from them; The buffaloes made them climb a tree
ebitaka	Clods
esagura	To pillow one's self
obunyamuryaine	Tumult, uproars
entimagizi	Malachite king-fisher
teerangana	To beat one another
tangaara	: to be astonished, wonder, marvel
funyiirra	To turn up
jaragatana	To be spread about
ebya Sitaani	Evil acts
akakule; I.akakwazo; t. akairimira; t. amabega; /. ekiikoohe; t. ekikule; t. ensibo; t. amasa; t. oburaro; /. omuku; t. omusindo; t.orubugo; t. orujali; t. oruhi; 1. orunyege; omuhanda; t. t.enkaito	Laugh loudly; Burst out laugrung; Run very fast, tum a somersault; Tum the back on; Sigh (when Blow tired); a born; Remould an old pot; Beat the Make air; a bridge; Bellow (bull), shut; Stamp the Make foot; a barkcloth; Make merry; T. slap, Empi, hit with flat of band; Dance; Make a journey; Polish shoes
embuzi	A or sheep
bintu bibiri abakazi ebi bakira kufubikisa abaana baabo	There are two things which commonly parents use io wrapping their children
jebeera	To wander about (hom eless person)
Efuba	To hide
emparacuki	Swift runner
kiba ky 'engeso mbi kutaaha enju y'omun tu okagit11ruukana otaina owoomunju weena akwebembiire	It is bad manners to enter one's house and then pass right through it without being guided by a member of the house
ensaija	A male animal
ebisaniko	Cover, banana used leafs
ekikururuzo	**track, trail**
tamika	To put food into mouth of (another)
akaniini	Finely ground millet flour
akawamuje	Squirrel
esungunika	To keep to oneself
caai	Tea, tea leaves,tea plant
obugirita	Razor blade,shaving blades
ekitengo	A very old cloth
anjuka	To be lascivious, licentious
akazingo	Chronic
tigika	To support (a falling thing) with poles
enkere	Water frog
tabira	To cover with soil, to cover beer in a hole for fermentation
Endahiro	Oath, vow, protestation
ekyalinga	Worthless person, good-for-nothing
engonzi	Love, affection
akajanja	Superficial behaviour
abantu abandi tibeetaaga kubatondera ebikorwa by'abany abuzaale baabo ebibi	Some people do not need to have the bad deeds of their relatives told to them
buliiririzi	Greed
ekisebe	Beetle larva, grub
duduma	To rumble, whirr, hum
ekinyamunsungusungu	Crested eagle
ebisonko	Sea shells
turiisa ente habe'nyama n'amata	We keep cattle for milk and meat
ekyoya	Feather, hair
bunyankomo	Imprisonment
Ehoima	To be quarrelsome
temburuka	To come down, descend, get out bed of
empataniza	Space
engaase	Sundried meat
enkukuuru	Horn trumpet
ebyenda	Intestines, offals
bwamba	Copious
Mukama ali Weena anya kutaatii"a obw 'omeezi bwe alibufeerwa	, the Lord said that whoever worries about his/her life, will lose it
toma	To begin
-Ebigambo bye bakabifurungura tinukwo yabigambire,ati.	-they changed words, that is not the way he/she said them.
ebikaaka	Giants
tengeesa	To shake, tilt
ensigo ezakya muno	Overflowing grains
ekikwato	Household
ataina w 'okumujunira tarwanira mu baingi; akamujunisa amaani ge; omuntu ajunwa obu atwara Yesu kuba Mukama kandi mujuni we	He who has no one to rescue him/her in case he/she gets overpowered will not fight in public; Be/she rescued him/her by using his/her strength; A person is saved when be/she takes to be his/her Lord and persona] saviour
tungira	{pf. -tungiire)
ensinduro	Full moon when rising
ahanyima	Indicating of sequence events
ta	Negative prefix, before U1esingularsubject second and third person prefixes,o- and a-,respectively and subject pronominal concord for classes 4 and 9
jurubana	To be smeared all over, dirten yourself with soft mud from cattle dung clearing when it
ensere	Hippopotamus
amaguru	Stand astride
ensese	diarrhoea with Dysentery, blood
Egendera	To take oneself off
etendebeka	balance To oneself
butandwa	Unforeseen accident peril,
kujokoza	To question deceitifully, provoke
akatima	:valve for a tyre
ebyabuuramuti ekooti	Cart, rickshaw coat, jackets
akatunguru	An onion
ekifufu	A bruise
jegya	To loosen.
tebeekera	To give permission to, leave it to fate, agree, assent
okutirimbira na kwo 'okuroorraaho k to make to remove thfogs for kook1Jsemererwa cleaning kw 'abaana	House
buyambi	Help, aid,assistance
bifu	Dead goats;rotten seeds
bwesungi	Cheek, impudence, naughtiness
eyobyo	Spider plant
amaizi gatuumibwa omuurro ogw'amaani; ebisus11 obu obinaga omukiikaro kimu buli kiro bituuma	Water is made very hot when boiled by a strong fire. Tuum a, ku-, oku-, v.tr; When rubbish is poured in one place daily it heaps up
ekiju	A bird's nest
byakeeri	in Hair the annat
amakuuma	Round shoulders
bubudamo	Reliance,security, strength, refuge
biraapara	Hurriedly
tegeekaniza	To make an attempt
ebitoga	Something or young imatures
dinga	become stupid
bugingo	Dangerous, deadly
obukunukizi	Apostrophes
amakuura	In footmall
afuukeerra omubwire bw 'embeho; abatabani bakamufuruurra Mwenge	He/she breathes with diffculty during the cold season; His/her sons helped him/her migrate to Mwenge
ekiika	Heavy smoke
emirindi	Tramping of many fee
aheeru ya	Wait for
twarraaniza	up Root together, give out two kinds things of
cenkacenka/nena	To chew
akahooho	Nice scent
enkana	A neck swelling
ekitangaazo	A microscope
obunenero	Chick-bones
tandaaza	To (e.g. spread Cement)
ebyenda	Bowels, small intenstines
Ejuura	To undress oneself
enyaani	Coffee-berries
juumara	To lie prone
fumbata	To embrance,
jumbika	Pass forrn, j umbikwa, ku-, oku-, 1{pf. -jumbikirwe)
Ehara	To scratch oneself, avoid
butende	Initiation ceremony of diviner
torooga	To abort, have a miscarriage (esp.animals)
bubbaani	Species of resin, incense
engunu	Gum (of teeth)
bulemeezi	Weight,difficulty
ebikohi	Eyelids
ekisore	Puppy: a young dog
bunkohoob	Inedible termites
Otwana tw 'embeba batwisire	They have killed the youngs of a rat. -tu-, t • person pl. Subj and obj. Prefix, we, us. Nitusoma, we are reading. Batugondeze, they have loved us. Tu-, o-, cl., prefix for nouns in cl. 13
bandwa	Chwezi priests
eteegura	To ungird oneself
jegema	To grow old and wrinkled, have swollen chicks
Waizikya	Ogre, giant, monster, mythical cannibal
ebifunjo	Cyperus papyruses
teba	CaJI without reason
Bahemuka araire ataahiriirwe abasuma	Last rught burglars broke into Bahemuka 'spouse
Ekoonyera	To help oneself
taisura	To let slip, let go, release
okusegesa mulimo gugumire	Threshing is hard work
ekisagiko	hair Ornament: beads
ensandaigo	Border of mat
entuuha	Crested crane
ebiiti bwomwani nibyetaga kubisalira	Coffee trees need pruning
bugubugu	Quickly and carelessly
juura	To take off clothes, undress, wear indecent clothing shows private parts
bugwaizooba	West
emigaramo	Idleness, leisure
ekiina	Hole, ditch, pit
atebeekiize hati kuvuga matoka	He/she is now steady in driving a car
enkumo	Fingers
buraguzi	Divination
kukaba kufaabbiina kw 'amani kwija kumara enju enu; Mugume akaba nafaabbiinisibwa enju ye obu yahoire yahuumura	It was real hard finishing work this house; It was the construction of his house that made Mugume work hard, he has come to rest after finishing it
ekyeremye	Rebelliousness, disobedience
turuotuka	To get out get ofline, in front
funya	To fold (trouser or
bwemi	Upright, standing up
agiire kutanisa ebihimba bye; ente zigira akatale kaazo aka baitamsizaamu; oburunguru butanisibwa omukataale ka Hima	She has taken her beans to market; Cattle have their own market where people take them for sale; Onions are sold at Hima market
buteerre	Slipperiness
Epaoka	To be proud
esimu	Telephone
engiga	Notch, joint, point
bujumeera	A good singing voice
ecupa	Bottle
ekigunguru	A round plastic jerrycan
ebiteekerezo	Idea, thoughts
akarungi	:something good, or beautiful
bbamu	Intensive with
ebinyabaisiki	Mushroom: an edible mushrooms
Ebaabira	To boast
bazarrabusa	They produce[children] for nothing
omuntu libamuha mubazi gwona rutakatyerokire; obutuzi oburukwera butyen1ka habwokuba bumera kiswa kimu	A person is not given any medicine before measles has broken out; Button mushrooms up close together because they grow on the same ground
twombera omusiri buli wiiki	We weed the garden every week
Ebairuka	To be startled
buura	Give warning
ebyasi	Gap in the teeths
butungi	Wealth
tundura	To cause to protrude, squeeze out· pass. Form, tundurwa, ku-, oku-
ebyaraani	Sowing machines
bunyaata	Eating without a relish
amakamba	Latex of rubber tree
ebitanga	Spots: small round spots
esuusa	To swing oneself
burumuka	To rustle, swish
Ehugya	To ignore, pretend
ekisoonante	A kind of grass
enkunzi	Lover
ekisarazi	Numbness, cramp
makune	: hospitable people
tiiza	{pf. -tiirize)
bikaiga	Young beans
bisengere	Ironstone, dross, slag
tomera	To charge into, knock against accidentally
Ekima	To bide
obusumi butaito	Shortest of times
eriiso-ry'ensi	Abyss
Egemuliza	fetch To one's food
busuuru	Ground-rent
amaswale	Raffia
ezaabbu	Gold
empara	Uganda Cob
ekijuma	A fruit, a table
bontaano	Five of them
akajoogo	Contempt
ebyeeya	Type swamps of
dikya	To hit hard
obwina/ebina	Hole,smalls
tembya	To cause to ascend, raise, hoist
bumoso	Left hand side
engoye obu ozoogya otaimaziremu shake about; t. ekitabu	Waddle. Burofu zitinda, clothes which have not tintimya, ku-, v.c; Had become stale
bigoye	Recover
ebiteete	Lemon grasses
leka kungambisa akasozi nikantentebukya	Stop me speak as the slope of a hill is forcing me to fall forward. Teoteerra, ku-, oku, v.i
Endebe	Small bell-like ornament
engazi	Palm oil
junda	To rot, go bad, spoil, decay
obunyamankogoto	Tortoises
ebikomo	Copper, large brass bracelets
karandaranda	A creeping plant
jeijcza	To attend, accompany.
tungununa	To taste sour
bazaire	Parents
ekagu ra,	To taste(food) again, repeat
enfumbi	Swollen glands
bunyeete	Stoutness
obunywanisa	: hyphens
ebisinziro	Heels
obwango	Eagles
ebikonkomi	Large lizards
esimba	To become surety
noojunaanwa omusango gw 'okwemereza motoka omukiikaro ekitaikiriziibwe	You are charged with parking a vehicle in a no parking area
fukumuka	To come out in large amounts as water from ground (content of gourd)
ekisinjo	Rage: violent anger
cwanganiza	To go across
enkurungo	Blue banana eater
ekitabu nkitaire hameeza; nteera ekitabu kinu kyange hameeza; omukono gukateebwaho omuhilcirwa. Prime the minister signed. -ta	I have put the book on the table; Put this book of mine on the table; \ Modal that particle, requires a subj. Personal prefix pronom. or Concord to express an intorogative adv., meaning, how? Abakazi balima bata? How do women dig? Ente zijuga zita? Bow cattle do mow? Oroho ota? How are you? Taaba, e-, n.cl.9
Ehenyenga	Forge
dundukya	To tantalize
esande	Undiluted banana juice.)
entabukatabuka	Muddle, confusion, commotion
twengekeerra	To add to, heighten, lengthen
Embi	Both
ekisiibo	Fasting period
ebifuba	Ekifubas
poliisi ekatamba kukwata omusuma owaakaba atuntwize ekyaro; omufumu onu atambira sente nke muno; atambisa emibazi y 'Ekitooro; enu endwara neetambwa Abarukwiragura	The police did a commendable job to arrest a thief who used to terrorize people in the village; This doctor asks for very little money for treatment; He/she uses Kitooro herbs to cure people of their diseases; This disease is curable by traditional African healers
enkoko kutaakuurra obwana bwayo obuhuka etaakuza enono zaayo	A hen uses its claws in order to scratch for insects from the ground for its chicks
ebizizi	Swarms
akashuumo	:.a steep slope
bambatara	To be squashed (soil)
entenyi	Trial by ordeal
enziransi	West wind
amasasi	Bullets
fumbatiza	To clasp in the hand
efuka	Hoe
ekyebu	Corner of cloth, skin
ebigwererezi	Accident, unexpected problems
akatuzi ko'bwera	Small white mushroom
ebiti	Piece of sticks
tunguurra	To begin to form (grains of millet, etc.)
deero	Now, today
ekibako	Tomb
tagaija	To be frolicsome,
ebifu by'ebimera biyongera orwezo mwitaka	Compost improves fertility soil
akagirita	Razor blade,shaving blade
etiriginya	To wriggle
abalimisa no'bulisa	Agricultural people and artisans
entoijo	Freshly churned cow ghee
abaikoarra omumatoko bafunzire tibatagaraza maguru gaabo	Those who sit in a car in excess do not spread out their legs
enyamagaro n	Pincers, pliers
ekwanzi ekwanasana	Big white beads
enkumba	White millet
Tangiira	To meet and welcome a guest
Endimi	Languages, tongues
ekyonzira	Sacrifice
-enjura ekajegajera esaaha isatu zoona,	-it drizzled persistently for three full hours
cwekanira	Rush at joyfully
obukorwa	Weasels
enzooro	Full moon
taagataagura	To tear in pieces, devour
ebihimba bye asangire babitongoiremu ebibaire byengere byona; Byakunaga akarwanisa Byenkya habw 'okutongora mukazi we; abaatongoire ebihimba bye bakabitongoorra omunjura eyasiibire neegwa	She found that all her ripe beans had been picked; Byakunaga fought Byenkya for dancing with his wife; Those who picked her ripest beans did so when it rained throughout the day
ekirandakwata	A person useless
embumbatizi	Sitting hen, broody hen
burofu	Filth., dirtiness,slovenness
ebiyengo	measuring Small baskets
ekinfll kitentera nambere haba heculikire; Wakame yatensaaga ebibaale bigya bileera kumukwata	rolls Something where there is a slope; Wakame used to roll stones down the slope and hit those who came to arrest him
dambakaarra	To be flabby, inert
nambere nguudo hataabaga abaana abaazindukaga, baafumbaga orume buli nyekya	Where there were no roads children who travelled early in the morning, had to pass through dewy grass on their way daily
enkunguru	Grasshoppers: small grasshoppers
ekilaaya	Irish potato
katoora ente nyowe nkatoora amasa	You have received a cow while l have received an empty band (said in a guessing game) "okatoora eha"
kakuba oikaarra hansi y 'orugoye n1bisi orohanikire nirukutoonyeza amalZI; abapagasa eki babatoonyereza nukwo kugonza kumanya ebiro ebi baakozire n 'ebi bataakozire; abaana abarukusoma omugigi abandi batonyezibwa buli kiro kya Sande	If you sit under a hanging wet cloth water from it will drip on you; The reason why labourers are marked off daily is to know the number of days they worked and those they did not; Some children who attend religious classes are marked on every Sunday
doboro	Double: twice as much
ekigigo	Molar tooth
ezi	ones, which
ebikungulima	Projecting things
ebitereza	Soft straight hairs
amoogi	Sharpness
tungamira	To on get top of (a person)
enyakabara	Native-born
emyetuno	Showing off, affectation, vanity
okutirimbira na kwo k 'okuroorraaho to make to remove thfogs for cleaning kook1Jsemererwa kw 'abaana	House
butoosa	Everyday, always
ebyokulya ob11 baba nibabicumba kutogota buli biri haihi kuhya	When food that is being cooked begins to bubble it means that it is nearly getting ready
tontera	Dive down, descend
toonyereza	To dress up, be grand
tebura	To speak sarcastically to, mock, flatter
bwebinduurro	Room to tum, freedom
ebiiga	Swellings on cattle hips
akasinga omusango lwbwokuba akaba aina arukumutongoniirra; akamutonganiriirra omukooti enkuru; atonga11iriin1•e abato11ga11irizi basatu; Bakatutanga kuto11gyatongya ebintu bingi obu turaabaga nitusaba; ekizina kyabo kikaba kiri kinmgi f..yonka kikaburwa ow 'okukitongeerra kunmgi; bagamba bugamba ebigambo ha kintu; abazim abataina mutongerezi basaba omuntu w 'okubatongereerra; ekizina kitatongeriirwe tikyoleka kunmgi ekigendererwa kyakyo	He/she was able to win the case because he/she had someone pleading for him/her; He/she pleaded for him/her in I.he High court; Three advocates pleaded for him/her. Tongatongya, oku-, oku-, v.i; We were advised not to utter many words when praying. Tongeerra ku-, oku-, v.tr. & v.i; Their song was nice but it lacked a soloist· omukiikaro ky 'okuzina abantu aband; Instead of singing some other people only recite words about something; Singers who do not have a soloist will hire one to come and lead them in the singing; A song without a soloistdoes not reflect its aimclearly
ebisaniko	Cover, used banana leafs
temera	To sow or one by one
tabuka	To be boiling hot, escape, survive
tw 'embeba batwisire	They have killed the youngs of a rat. -tu-, t • person pl. Subj and obj. Prefix, we, us. Nitusoma, we are reading. Batugondeze, they have loved us. Tu-, o-, prefix cl., for nouns in cl. 13
tyagira	To trudge, plod along
akaragwa	:inherited trait
amanzamba	Cartridge bolt
akabatanga kujejegulirwa omuka ye	He prohibited them from gossiping in his home
ebijenge	Water-logged ground
ekirooto	A dream
bubitihi	Lying, deceitfulness
janjaba	To care for, nurse, attend to
amasonsolya	Top of a tree
ekicu	Cloud
ebyegemera	Set-squares
waikiriiraha	Growth left unburnt after grass fire
ebyoto	Fireplace, hearths
ebyesingiso/ekikuto/ekijumakuba	Loofah, sponges
enziha	Deep water
bwigamiro/ buyamba	Support
Endimiro	Cultivated plot, field
ebisingo	Garden rubbish
binkwatiireki	Carelessly
