muhogo	throat
jwahukilrra	the jwahilrra
jwambura	pulling away
ekitabu nkitaire hameeza; nteera ekitabu kinu kyange hameeza; omukono gukateebwaho omuhilcirwa. Prime the minister signed. -ta	the book is not on the table; I put my book on the table; the signature is placed by the translator. Prime the minister signed.
nkitaire hameeza; nteera ekitabu kyange kinu hameeza; omukono gukateebwaho omuhilcirwa. the Prime minister signed. -ta	I'm not at the table; I'm putting my book on the table; the signature is being placed on it. the Prime minister signed. -no
taabaana	children
taaga	tobacco
omusaiJa amutaagisize; akakira kutaagisibwa kumuteeza eldJumbura	the driverJa did not stop him; he refused to stop him eldJumbura
ekisoro embwa zikakitaagatagurazaakirya kyona	the dog's cage
taagura	does not buy
akamunyegeerra habw 'okumutaaguurra orugoyerwe; ekiniga kikamutaaguza ebbaruha ezi akaba amuhandiikiire	he found out that he was cheating on her; he was furious and tore the letters he had written
taaha	home
obugenyi; banywani be kumutaahira obugenyi; obugenyi bw'omutabani bukataalrwa abantu baingi	invitation; invitation of friends; invitation of a son; invitation of many
Bahemuka ataahiriirwe abasuma	Loyalty not to thieves
omwegenderezeege obu araabaga noobaza nawe	be cautious when talking to you
ira omun111 obu yataahinvaga abagenyi yayetaga abantu ab 'okwija kubaza	iraun111 when he didn't have visitors he needed people to ask
to make enter; Barwenda akataahisa empisi obugenyi. Barwenda a hyena to a wedding	to make enter; Barwenda a hyena to a wedding
to make enter; akataahisa empisi obugenyi. Barwenda invited a hyena to a wedding	Barwenda invited a hyena to a wedding
taahisa	he does not
omunyoro akataahya omufuruki 0mu kibanja ekikaba kiri kya Bisereko	a flower that doesn't burn a flower in a field that belongs to Bisereko
obu akaba naamara bwe mb '0mukama akataahya enyana; t.	I've been waiting for you since I was a little girl.
obu akaba naamara obuheereza bwe mb '0mukama akataahya enyana; t. omukazi	When I finished my ministry, I was a man who did not feed the calf; t. a woman
-kinwa kya nte Rubaga	- bull's mouth
enkoko kutaakuurra bwayo obuhuka etaakuza enono zaayo	the chicken does not lay its eggs
enkoko kutaakuurra obwana bwayo obuhuka etaakuza enono zaayo	a chicken that does not lay its eggs
taama	not
ekiniga kikamutaamataamuza bakaba batiirwe bombi	he gets angry and both of them are killed
ekiniga kikamutaamataamuza ekisisani bakaba batiirwe bombi	the anger is so strong that both of them are killed
orugoye rwe rukataamukira omukizaaniro	his garment is made of silk
akamulehesa habw 'okumutaamtwrra orugoye rwe	he told her because she tore off his clothes
taana	today
rwebagyo Baitu tiimmanyirege mbere abaire naataaruukira enaku	But I didn't even know him before he got hurt.
-Oraire Ota Taata?	- Where's my dad?
Mukama ali Weena anya kutaatii"a obw 'omeezi bwe alibufeerwa	The Lord is always ready to hear the cries of the lost
kyange nyamutaba kyantaba n'abataahi; enkinzo batabisa omukeeka bagyeta orukato	I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors; I don't have any neighbors.
ekinyege kyange nyamutaba kyantaba enkinzo batabisa omukeeka bagyeta orukato	my head is not a knife they call it a shovel
obutamanya butabaaza araafa; atabaazibwa omukama abantu baingi muno	ignorance of the light will die; without the light of the Lord many people will die
tabaijuka	do not remember
tabanguka	is unyielding
tabanguka	is unyielding
tabatabuka	does not break
tabika	not appearing
tabura	the tabura
omwana obu aba ali omba ataga	when a child is crying
tagaarra	not
tagaija	will not
tagata	not
gatagatira esaaha baitu gatwara esaaha nyingi kufako	less than an hour but more than an hour to die
amaizi gatagatira esaaha nke baitu gatwara esaaha nyingi	water does not take a few hours but many hours
taha	the house
omuntu mukuru obu agenda haiziba, kumutahira amiazi,	When an elderly person goes to bed, do not make him cry.
amata gatahatwa ayagatahasire	unpasteurized milk
tahisa	not in time
tahura	not see
tahura	not see
omubazi anywire gumutahwire muno gwamumara amaani	a drunkard who drank too much and lost his strength
tahyatahya	not new
taiga	the taiga
taisa	fear
taisa	fear
akaba naagya kuhandiika ekalaamu yamutaisuka yagwa; akataisukira om11muhanda yain1ka yamusig a	he was going to write a pencil but it fell off; the one who was crossing the street just left him
abateezi b'entomihobo 'omumu w 'olmbataisukaniza omukuteerangana	the makers of one-piece clothing don't make the meeting
omuhiigi obu abona enyamaiswa ataisura embwa ze kugihambya; ayataisuliire abagenzi embwa ze bakamutaho omusango; omunyankomo ataisw1n11e	a student who sees a wild animal does not call his dogs to pick it up; he who does not call his friends the dogs accuse him; the rapist does not kill
-namwandu atalibana muno wenka omumakage.	- a widow who is not alone.
obu anywa amaanva; kira ebiro bisalu	when drinking vegetables; for a few days
kataito obu orukukatalikirizaamu abantu abandi nibaburwa h 'okwikaarra	a small group of people who are unable to control themselves
kataito obu orukukatalikirizaamu abantu abandi nibaburwa 'okwikaarra	a little bit of self-discipline
tama	Try to
akantamira nve; orugambo obu obazaaho kubi mugenzi waawe omutamisa abantu; akatamwa buli muntu	And he said unto me, Go away; for this word that thou speakest against thy neighbour is blasphemy; it is an abomination unto all men.
akantamira orugambo nve; obu obazaaho kubi mugenzi waawe omutamisa abantu; akatamwa buli muntu	If you speak evil of your neighbor, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer,
poliisi ekatamba kukwata omusuma owaakaba atuntwize ekyaro; omufumu onu atambira sente nke muno; atambisa emibazi y 'Ekitooro; enu endwara neetambwa Abarukwiragura	The police often catch a thief who has just invaded the village; the gunman plays a little money here; he plays with 'Ekitooro's rivers; this disease is caused by robbers
toina mbere oratambikiriza amagun1, Omwanya oikaliremu mufunda	you don't even have to move your legs1, you don't even have to move your feet1, you don't even have to move your feet1, you don't even have to move your feet1, you don't have to move your feet1, you don't have to move your feet1, you don't have to move your feet1, you don't have to move your feet2, you don't have to move your feet2, you don't have to move your feet2, you don't have to move your feet3, you don't have to move your feet3, you don't have to move your feet3, you don't have to move your feet4, you don't have to move your feet4, you don't have to move your feet4, you don't have to move your feet4, you don't have to move your feet4, you don't have to move your feet
tambuka	walk
akamttjunaana habw 'okumutambukira	he blames her for walking
tamburra	to walk
amagun1; e11yama y'ekisoro bagitambuurra omukisaka; enyama y'ekisoro ky'omukisaka etamburwa hali abo bonka abagihiigire	the animal's skin; the meat of the animal is only eaten by those who eat it
tambuurra	not hearing
atamiire amaanva g 'ebitooke; amaarwa tibagatamiirra buko	They will be drunk with the poison of bitterness; they will not be made drunk with the poison of bitterness
tamiirukuka	do not run away
obu yatamiire akatamiinikukira ekiro kyo11a; ebicwe by'enyama nibyo byamwamiinikukize	when he was drunk he got drunk on the 11th night; meatballs were the cause of his drowning
tamika	start
omwwaire bamutamikil'a kubunva amaani g'okwetamika; omuntu ebyokulya bakira kubimutamikisa egiiko	the patient is sedated by the force of the bending; the person is sedated by food rather than vomit
tamuza	does not come
ekillooya kye ataniire Kasunganyanja; atanire kumanya habwaki omwana atii1·e owe	a dream that he has not fulfilled; he wants to know why the child is afraid of you
ekillooya kye kitanire; ataniire Kasunganyanja; atanire kumanya habwaki omwana wange owe atii1·e	his dream is over; he is not afraid; he does not want to know why my son is afraid
abaana nubo bakanya muno kutanakira omubbaasi; haroho emibazi enyakutanakya abarwaire	children are not allowed to ride the bus; there are toilets for the sick
tandaaza	he/she/it has not
tandagaraza	he does not calm down
tandama	the tail
obw obulemu 'okucungw·a Uganda bukatandikira luwero; agonza Tusiime muno omwegesa we ayamutandikisize kusoma n 'okuhandiika; obulemu kabiri obwa obw 'ensi yoona bukatandikwa Adolf Hitler (1939 - 1945)	disability 'the liberation of Uganda begins early; he wishes to thank his teacher who taught him to read and write; second world war disability begins Adolf Hitler (1939 - 1945)
tandukuurra	I'm not going to
akasanga tumazire ira kulya n"emeza bagitandukurwire ira; akaba	When we had finished eating, we decided to eat.
akasanga tumazire ira kulya n"emeza bagitandukurwire ira; akaba agenzire	When we had finished eating, he said, "Let's go".
bamutangiririire omumaduuk.a Fort po11al; omukuras1 wabo bakamutangiriza elcimuli; akabatangisiza habw.okugya habbaasi	He was preceded in death by his grandfather, who was killed in a car accident.
agiire kutanisa ebihimba bye; ente zigira akatale kaazo aka baitamsizaamu; oburunguru butanisibwa omukataale ka Hima	He learns to clean his limbs; the cows have their marketplace where they are not fed; the butterflies are cleaned by Hima's caterpillar
agiire kutanisa ebihimba bye; ente zigira aka baitamsizaamu; oburunguru butanisibwa omukataale ka Hima	he has learned to cut his limbs; the cattle are not cut; the turtle is not cut by Hima's caterpillar
ekihooya kye kibaire kyas1sana ekirukwoma; ira amaiz1 g'enjura bagatangiririzaga hkitooke rundi hamutoma; Busaho 'omu ayamanyire ekyamutanuukiriize 11a we	His shower was in the morning, and when it was raining, they used to make it hot or cold; therefore, he knew what he had accomplished.
ekihooya kye kibaire ekirukwoma; ira amaiz1 g'enjura hkitooke rundi hamutoma; Busaho n 'omu ayamanyire ekyamutanuukiriize 11a mugenzi we	If it's raining, it's cold, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it' it's raining, it' it's raining, it' it's raining, it' it' it's ra
omuntu obu ataarra omubantu abatamumanyire tabatungiramu businge; enaku nizo itaza omuntu	When a person doesn't respect strangers, he doesn't feel safe; it's the sadness that makes him feel bad
obu yasangire gaatara amahe haka ye aho yamanya; enjuye akagitalilwa omufundi ayayegesiibwe omu byamaju	when he finds the lamps he goes to where he knows; he goes to the house called by a teacher who has been trained in magic
teba	not
teba	not
omuntu amanyire ebyenseke nuwe atebera abanyubenyzmgu enseke	a person with a sense of humor is a person who knows how to make people laugh
omuntu amanyire ebyenseke nuwe atebera enseke	a person with a sense of humor is a person with a sense of humor
abaisiki abamu muno bakira klltebwa aboojo	Some of the mosquitoes here are killed by mosquitoes
tebeekana	do not get along
tebeekera	do not make plans
tebeekera nk amaizi	do not hold back
atebeekiize hati kuvuga matoka	ready to drive
ebigambo ebi bitebiibwe abahuliirege orubazo rwe	the words that were spoken to the audience
teeba	not
teega	to learn
ze zikaburwa enimi ey'okuziteegesa	which are distributed in languages for interpretation
teeka	the law
teeka	the law
amaarwa	wounds
teeka	the law
enyaanya bakaiteekera abaguzi	what they put out for the customers
teekera	do not
emihyo n 'amacumu baabiteekeerra hamahyoro; abantu bateekeza abandi muyamba	spears and javelins were placed on the shoulders; people used to help others
emihyo n 'amacumu baabiteekeerra abantu abandi bateekeza muyamba	spears and javelins were used to attack
Ruhanga atutanga kuteekerereza busa bagenzi bairu ngu bakozire ekintu ekibi nanka; ebiteekerezo eby biteekerezibwa Ruhanga	God gives us a false sense that others have done something wrong; thoughts that God thinks
Ruhanga atutanga kuteekerereza busa bagenzi bairu ngu nubo bakozire ekintu ekibi nanka; ebiteekerezo eby 'obusinge biteekerezibwa Ruhanga	God gives us no reason to think that others have done something wrong; peaceful thoughts are God's
teekura	not slowing down
teekura	not slowing down
ow'okumuteekuurraaho ebyokulya bye akamubura; habugenyi abasaija nubo bateekuzaaho abakazi ebyokulya hamahega; ebyokulya bikateek:urwaho abasaija bonka	If a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, women are deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, women are deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, women are deprived of it; if a man does not prepare their own food, he is deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, he is deprived of it.
teera	be careful
akakule; I.akakwazo; t. akairimira; t. amabega; /. ekiikoohe; t. ekikule; t. ensibo; t. amasa; t. oburaro; /. omuku; t. omusindo; t.orubugo; t. orujali; t. oruhi; 1. orunyege; omuhanda; t. t.enkaito	t. back; t. shoulder; t. shoulder; t. shoulder; t. shoulder; t. shoulder; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders
I.akakwazo; akakule; t. akairimira; amabega; t. /. ekiikoohe; t. ekikule; t. ensibo; t. amasa; oburaro; t. /. omuku; t. omusindo; t.orubugo; t. orujali; t. oruhi; 1. orunyege; t. omuhanda; t.enkaito	I. shoulders; shoulders; t. back; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders; t. shoulders
teerana	teerana
omusaija n 'omukazi habw 'okuba baceke omukuru akobateeraniriza yabo	a man and a woman because they're laughing at the old man comparing them to their
omusaija n habw 'okuba baceke omukuru akobateeraniriza muka yabo	the husband and because they are the older ones they compare their wives
1110/oka zikira kuteerateeranira omubyezigooro; ekiteerateeraniza motoka nukwo kwirokira hanziriga enyingi muno omubyezigooro	1110/or to prepare the vehicle for a crash; to prepare the car for a crash is to save a lot of money in the crash
1110/oka zikira omubyezigooro; ekiteerateeraniza motoka nukwo kwirokira hanziriga enyingi muno omubyezigooro	1110/or save the vehicle; the car repair is to save a lot of money in the vehicle
teereerra	do not give up
akabateereerra omwana we weena kugenda ekiro; omusomesa akabateerereerra kutaijaga b01ajll'aire nkairo; bateereriinve kwikara omunyikiriza yabo	who sends their child to school at night; the teacher tells them not to go to school; they are not allowed to keep their religion
akabateereerra kutaikirizaaga omwana weena we kugenda ekiro; omusomesa akabateerereerra kim11 kutaijaga nkairo; b01ajll'aire bateereriinve kwikara omunyikiriza yabo	They are advised not to let any child go to school at night; the teacher advises them not to go to school; they are advised not to go to school because of their religious beliefs
teerereza	do not overdo it
akateererereza omumaiso g 'omucwi weemisango nkook11 atarakikozire	he/she/it is looking at he/she/it has not looked at
teerra	teerra
omwinvarro akarugamu atakategere; t. enkarwa; haigunt bakitegera hansi; ebisoro eby'amaani muno babitegesa ornuliiti	wwinvarro akaramu atakatege; t. enkarwa; haigunt still understand the ground; powerful animals here are called ornulit
tegana	do not give up
omufumu abarwaire bakamutegerereza aheeru y 'ekisiika /eye; bakabiiltirwa tcgura temb kubategererezesa busa omuge11yi atarasoboirekwija; mukun1 w 'ihanga akategerezibwa abontu yaraganiize kubungira	the king who was ill and they asked him to stay away from the clan; they were told to stay away from them before he could go; the ruler of the country, who was understood by the people, refused to go
omufumu abarwaire bakamutegerereza aheeru y 'ekisiika /eye; bakabiiltirwa tcgura temb kubategererezesa busa omuge11yi atarasoboirekwija; mukun1 w 'ihanga akategerezibwa abontu yaraganiize kubungira	the king who was ill and they asked him to stay away from the clan; they were told to stay away from them before he could go; the ruler of the country, who was understood by the people, refused to go
nooyetaaga omuheereza ow 'okukuteguruurraaga engoye zamve; genda oteguze mugenzi waawe ebintu baliiriireho	You need a servant to make you a new garment; go and buy food for your neighbour
teka	not marry
banza osambuu"e omukeeka ohike eldikaro gutemiiremu nukwo oguterekereze; ob oruka omukeeka otagumize enkindo ogutemya; tali niinyowe atemeze omukeeka gwawe; t. ekiteega; naaseerra aw'okumwemere emifiye; enjoka ekamutemera omum11siri naalima; abasaija emiti bagitemeseze e11de11111; ayatemerwe enjoka atiina omunya	go to the elevator and stand there and think about it; when you run to the elevator you don't hold the palm tree; it's not you who's cutting your tree; t. the elevator; I'm coming to take shelter from the dead; the snake that bit him in the throat will bite; the woodcutters will cut off the tree; the snake will not bite you for fear of the prey
ekiniga kikamutemuza ebbaruha ezi akaba amuhandiikiire; emiti y'ebijuma bagitembera abaana tembeeka temeerra kugicwaho ebijuma byayo; embogo =ikabatembesa omuti	Anger tears away the letters he had written to her; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children; the trees of the week are visiting the children;
0111ura11111zi akakizoora nkooku eki11111yamugambireho eki akinmtembeekere akaba kwonka	0111ura11111zi akizoora kokoku the11111 told him what to do
tembeerra	not always
noobu e11seene11e baazaahuragaliaiguru	and they will go to heaven
noobu e11seene11e baazaahuragaliaiguru kwinganaki	how long will they be in heaven?
nyineeka aJemberiirwe nuwe ogu ow'omusaija mugenzi we aihireho mulcazi we	mother of the deceased is the wife of the deceased's husband
temburuka	not be discouraged
omwana mukuru tayetaaga ow muntu 'okumutemburuya hakitabu	an older child does not need someone to "read the book" to him
tembya	a newborn
ebendera y 'ekitebe rundi ey 'ihanga bagitembya nyenkya rwebagyo	the national flag is hoisted in the morning
naaseerra omuntu w 'okummemereerra ebitooke; abanyoro bakasanga ebitooke biri omwirungu; ebitooke bye byamara emyaka ebiri bitakatemererwaga	So I hired a man to look after the fig tree, which hadn't been cut for two years.
naaseerra omuntu w 'okummemereerra ebitooke; abanyoro bakasanga bye ebitooke biri omwirungu; ebitooke byamara bye emyaka ebiri bitakatemererwaga	So he hired a man to look after his figs, and for two years he kept them in the garden.
tengeetera	do not
ekinfll kitentera nambere haba heculikire; Wakame yatensaaga ebibaale bigya bileera kumukwata	The infl descends even when it is cold; Wakame shoots the bullets until he catches it
ekinfll kitentera haba heculikire; Wakame yatensaaga ebibaale bigya bileera ayabaga aizire kumukwata	The infl is slowly heating up; Wakame shoots the bullets until they hit him
leka kungambisa akasozi nikantentebukya	don't make me move the hill and slide
leka kungambisa nikantentebukya akasozi	don't move me when I move the mountain
akaterebeerra kutaba na numtu w 'okumwekambisa kukora emirimo; omunlu kwikara omukitabu abyamire esaaha zoona kimuterebeza; ogu akaterebezibwa obugara	Let no one deceive you, but let your light shine before others, that they may see your good deeds and glorify your Father in heaven.
na numtu w 'okumwekambisa kukora emirimo; omunlu kwikara omukitabu abyamire esaaha zoona kimuterebeza; ogu obugara	If a man is a slave to his master, let him keep his master's house in order that he may be able to carry out his duties properly.
hakasozi akaterebukira yagwa yahe11deka; akaba naija kwombeka omurubuga abazaire be baamuterebura	a hill fell; he was going to build a city that his parents had warned him about
enju enyakwombekerwe hansi etereekeriire etwara sellle nke	a flat-roofed house that holds fewer cells
temera	not stop
obu okaba orwaire obotao/11 11ubo boomutemeriire ebihimbo bye; obokozi bagen:u benubo baomulemiize ebihimba bye; ebihimba bye bikatemerwa	When you are sick, cut off his limbs, save him, cut off his limbs, cut off his limbs.
obu okaba orwaire obotao/11 11ubo boomutemeriire ebihimbo bye; bagen:u obokozi benubo baomulemiize ebihimba bye; ebihimba bye bikatemerwa obaraahi	When you were sick, you cut off his limbs; when you were healed, you cut off his limbs; when his limbs were broken, you cut off his limbs.
temuka	not run away
okomunyegeerra hobw 'okumutemuurro ekiteeteei; ekiniga kikamutemuza ebboruho yamuhondiikiraga zoona	to know him because of his unprovoked murder; anger makes him angry all the time he listened to him
abatenzi batendeso enkindo nmdi e11duko	the coaches coach the team in the 11th round
teodcbeka	theodcbeka
teodcbeka	theodcbeka
egaoli enyalmfiire sente ezi ateetegekere	The dead man's money is unprepared
tencekana	be quiet
mwije muntenekere omusiri gwange gunu; enfuka ya kidim11 niyo ebo mmgi kutenekesa omusiri	come and fix my garden; the garden bag is the only way to fix the garden
tengeerra	do not
tengeesa	do not try
tengeeta	do not
orubengo nve bakaruterereza omubugenyi	a grinder and a grinder for a guest
teruka	run away
obu yaboine omusango okugurukwija kum11si11ga ebigambo yabiterukaho	When he was convicted of a crime, he was sentenced to death by hanging.
teruka	run away
teta	cut off
teteerwa	not given
tetera	not often
abakazi ba/ima bari; zijuga ziti; ngambire nti; embuzi ekatigira ha kwambuka ekisam·u; amaizi g'ekisaaru nugo gaagitigize	women are; they play; I say; a goat that does not dare to climb a mound; water of sand and mud has made it
abakazi ba/ima bari; ente ziti; ngambire nti; embuzi ekatigira ha kwambuka ekisam·u; amaizi g'ekisaaru gaagitigize	women of/ima bari; cows are; I say; a goat that does not dare to climb a mound; the water of the mound has divided it
munywani we nuwe yamut1gandisize enju ye	a friend of his left his house
tigika	be careful
tilhiika	to get rid of
ebyokulya ebyamurwaize akabimutiihiikira owaabu	food that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate
omuntu obu aba aguzire orugoye ruhyaka anttiika	when someone buys a new piece of clothing
enyama y 'omwihuki w 'amaino baakugitiimirege; haroho obwoma abantu obu enyama	The flesh of the toothbrush shall be trembling; there is fear of men
enyama y 'omwihuki w 'amaino baakugitiimirege; haroho obwoma abantu obu batiimisa enyama	The meat of the toothbrush is frightening; there is a fear that people will stop the meat
tilna	not
omusaija akatiiniriirra mugenzi we omwirungu obu bagiire kuhiiga embogo	a black man shouts at a white man after a fight
omusaija akatiiniriirra mugenzi we omwirungu obu bagiire kuhiiga embogo	a black man shouts at a white man after a fight
akaana k 'enkoko katiitiirre omu mapapa ga nyinako; engoye ze nizeera tiitiiti; ebirika bifuka tiitiiti	A young hen does not crawl in its mother's wings; her clothing does not shrink; her feathers do not shrink
ebitakuli bito babitimba kandi ebikuru n 'efuka	the small ones are put up and the big ones are put in bags
tinda	work
tinda	work
engoye obu ozoogya otaimaziremu shake about; t. ekitabu	clothing that you wear that you don't shake about; t. book
to nibaririiha kukira aho; byakyo byona	will not pay more; all
tirimbira	does not sing
okutirimbira na kwo 'okuroorraaho k to make to remove thfogs for kook1Jsemererwa cleaning kw 'abaana	to make to remove thfogs for kook1J enjoying cleaning of children
obu yasangireamazire irakutobeza enyungu yamuleka yahotoorra kimu	When he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired.
omuntu atogo/ekwa obu aba naabaza hamu ebitarula11eerana	a person who asks more than one question
ob11 ebyokulya baba nibabicumba bikatandika kutogota buli biri haihi kuhya	b11 the food is cooked and the food starts to boil when it is almost hot
ebyokulya ob11 baba nibabicumba kutogota buli biri haihi kuhya	food is usually cooked to a high temperature
toka	right
akatokera omukooti om11ramL1Zi yamufubira; rediyo obu agitokesa muno ebuza abarukubaza obusinge	The court heard that the 11RAML1Zi had attacked him; the radio when it attacked him asked the security guards
akatokera omukooti yamufubira; om11ramL1Zi rediyo obu agitokesa muno ebuza abarukubaza obusinge	The court immediately rebuked him; the radio when he burned it, he asked the security guards
tokomera	do not be stubborn
tokomeza	do not continue
tokomoka	do not run away
akatokoora	a cockroach
akatokoora	a cockroach
Eryato likadikira abakaba boona baatokomera omunyanja; ayayokeze enju ye nuwe yagondeze okutokomya ebintu bye; ebintu by'abantu bikira okutokomebwa omu11rro rundi enyanja	The ship will wait for all the sailors who cross the sea; he burns his house and he wants to burn his goods; people's goods are better than being burned in a fire or at sea
toma	thomas
tomera	not grow
tomera	not grow
akatomera ekisiika omumwirima naagya kubyama; akavuga motoka ye atamiire ekisa yagitomeza ky 'oruguudo	he lights a window in the dark to go to bed; he drives his car drunk and crashes into the street
akatomera ekisiika omumwirima naagya kubyama; akavuga motoka ye atamiire yagitomeza ekisa ky 'oruguudo	he lights a window in the dark to go to bed; he drives his drunken car to the side of the road
abantu abamu batona amajugaabo n 'inoni; obu oba otaina rangi y' Ekijungu noosobora kutonesa inoni	some people color their eyebrows and eyelashes; if you don't have a black eye, you can color your eyelashes
orusu; 1. obusegu; t. akeeta abanyaruganda kwija kumutondera	orusu; 1. sexual intercourse; t. summoning relatives to apologize
obwasigaire oburo omumusiri butagesirwe babllf ondogoroiremu bwona bwalrwamu; akanga kutondogoorra byona ebyarugiriif weho okunobangana kwabo; akaragira abaana be kugenda k11tondogoroorra nyinenkunt bo oburo abagesi obu baasigire omumusiri	The remainder of the time the monk is not allowed to tell the whole story; he refuses to explain everything that happened to him during their encounter; he tells his children to go to the monastery to tell their mothers the story of the monks who left the monk
oburo obwasigaire omumusiri butagesirwe babllf ondogoroiremu bwona bwalrwamu; akanga kutondogoorra byona ebyarugiriif weho okunobangana kwabo; akaragira abaana be kugenda nyinenkunt bo oburo abagesi obu baasigire omumusiri	The rest of the time the monk is not allowed to tell the whole story; he refuses to tell the whole story; he tells his children to go to their mothers when the widows leave the monk
tondooka	not falling
akabasaba kumutondoorra ebihimba bye	ask him to remove his limbs
ibanja lye akalitongera omwaka gwo11a	his debt that will add to your year11a
omusango gw 'okwonesa akagutonganira omwaka gwona; akamutonganiza habw 'okumwoneseza; binu biro emisango etongamva abatonganirizi	the case of 'healing' he pleads to you all year; you accuse him of defaming him; now the judgments of the plaintiffs
akasinga lwbwokuba akaba aina arukumutongoniirra; akamutonganiriirra omukooti enkuru; atonga11iriin1•e abato11ga11irizi basatu; Bakatutanga kuto11gyatongya ebintu bingi obu turaabaga nitusaba; ekizina kyabo kikaba kiri kinmgi f..yonka kikaburwa kunmgi; bagamba bugamba ebigambo ha kintu; abazim abataina mutongerezi basaba w 'okubatongereerra; ekizina kitatongeriirwe tikyoleka kunmgi ekigendererwa kyakyo	most often because he had a supporter; he appealed to the high court; he chose three young witnesses; they read to him many things when we prayed and prayed; their name was a letter f.. but it was forgotten by the letter; they say a word about something; builders who have no priest ask for someone to intercede for them; the unwritten dance does not reveal the letter's purpose
akasinga omusango lwbwokuba akaba aina arukumutongoniirra; akamutonganiriirra omukooti enkuru; atonga11iriin1•e abato11ga11irizi basatu; Bakatutanga kuto11gyatongya ebintu bingi obu turaabaga nitusaba; ekizina kyabo kikaba kiri kinmgi f..yonka kikaburwa ow 'okukitongeerra kunmgi; bagamba bugamba ebigambo ha kintu; abazim abataina mutongerezi basaba omuntu w 'okubatongereerra; ekizina kitatongeriirwe tikyoleka kunmgi ekigendererwa kyakyo	he was convicted of blasphemy; he appealed to the supreme court; he appointed three witnesses; they read aloud many things when we were praying; their name was the door f.. but it was impossible to put it on the door; they said words on something; the builders who did not have a priest asked for someone to speak for them; the dance that was not performed did not reveal its purpose
ebihimba bye asangire babitongoiremu ebibaire byengere byona; Byakunaga akarwanisa Byenkya habw mukazi we; abaatongoire ebihimba bye bakabitongoorra omunjura eyasiibire neegwa	All the parts of his body that he finds are to be buried in the walls; Byakunaga will fight tomorrow for his wife; those who buried his body will bury the one who buried him
